,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link,Longitude,Latitude
709,Isetan Office Building,D3,Havelock Rd,17000,4232,4.02,https://www.99.co/singapore/commercial/rent/property/isetan-office-building-office-VDVWiPGoSJBvLr7QUqfQdz#enquiry_source--Search,103.83997,1.29013
710,High Street Plaza,D6,High St,950,97,9.79,https://www.99.co/singapore/commercial/rent/property/high-street-plaza-office-6dnFdttUAc6UjTXwWPSK3K#enquiry_source--Search,,
716,Centro Bianco,D19,Upp Paya Lebar Rd,14400,4800,3.0,https://www.99.co/singapore/commercial/rent/property/centro-bianco-office-Y2aidvgLksoRrvCuuPqe5K#enquiry_source--Search,,
719,Novena Square,D11,Thomson Rd,32900,4015,8.19,https://www.99.co/singapore/commercial/rent/property/novena-square-office-TjLvCXQkb2ZaRn5vSGmBPZ#enquiry_source--Search,103.84263,1.32566
725,Tong Lee Building Block A,D13,Kallang Pudding Rd,500,200,2.5,https://www.99.co/singapore/commercial/rent/property/tong-lee-building-block-a-office-dEQuoBWP5bHBavRocNkHar#enquiry_source--Search,103.80707,1.31744
726,Kampong Glam Conservation Area,D7,Aliwal St,7500,1700,4.41,https://www.99.co/singapore/commercial/rent/property/kampong-glam-conservation-area-office-PoKdQRSKua52MzEQ3tRJnE#enquiry_source--Search,103.86125,1.30165
730,31 Hongkong Street,D1,,37050,5700,6.5,https://www.99.co/singapore/commercial/rent/property/31-hongkong-street-office-mMPZ9jkA5ieWMgR2TB27Mi#enquiry_source--Search,103.84704,1.28752
731,Tanjong Penjuru,D22,Tg Penjuru,15000,5000,3.0,https://www.99.co/singapore/commercial/rent/property/tanjong-penjuru-office-BDfSwveVzjoAgtsLMLBMPH#enquiry_source--Search,103.74046,1.3063
732,Bharat Building,D1,Raffles Pl,13000,2207,5.89,https://www.99.co/singapore/commercial/rent/property/bharat-building-office-VnL4mPp2QKh3e3ukYAgguV#enquiry_source--Search,103.8508,1.2849
742,Tanjong Pagar Road,D2,Tg Pagar Rd,19800,2800,7.07,https://www.99.co/singapore/commercial/rent/property/tanjong-pagar-road-office-UeFoQ32Rnvuq8E8rnkyHDn#enquiry_source--Search,103.84426,1.27993
743,Craig Road,D2,Craig Rd,19800,2800,7.07,https://www.99.co/singapore/commercial/rent/property/craig-road-office-nBhX3KoxwBy7JcKHBoN3kJ#enquiry_source--Search,103.84275,1.27754
744,WCEGA Plaza,D23,Bt Batok Cres,4300,2605,1.65,https://www.99.co/singapore/commercial/rent/property/wcega-plaza-office-oKdyyH72bWjuZvTVK4xFwZ#enquiry_source--Search,103.7543,1.34897
