,Name,District,Address,Price ($) p/m,Size (m2),Price per m2,Link,Longitude,Latitude
82,Kreta Ayer Conservation Area,D1,Mosque St,15000,2400,6.25,https://www.99.co/singapore/commercial/rent/property/kreta-ayer-conservation-area-office-bizxYRCuFnBMgA79iQDuox#enquiry_source--Search,103.84555,1.28339
84,Prinsep Street,D7,Prinsep St,77000,14000,5.5,https://www.99.co/singapore/commercial/rent/property/prinsep-street-office-3xGkJ7ZCtp34PvbuGY4zoD#enquiry_source--Search,,
85,ADL Building,D22,Toh Guan Rd East,2142,590,3.63,https://www.99.co/singapore/commercial/rent/property/adl-building-office-BUGe45XRERW9RCAw55o43S#enquiry_source--Search,103.74828,1.33583
86,Science Centre Road,D22,Science Centre Rd,4000,1150,3.48,https://www.99.co/singapore/commercial/rent/property/science-centre-road-office-i62LpwygPKHsicrdVFRjri#enquiry_source--Search,103.74004,1.33108
87,Parkway Centre,D15,Marine Parade Ctrl,6000,1098,5.46,https://www.99.co/singapore/commercial/rent/property/parkway-centre-office-HtzGBCU4nmeSzF3zgm2Xak#enquiry_source--Search,103.90833,1.30515
88,Sunshine Plaza,D7,Bencoolen St,4000,517,7.74,https://www.99.co/singapore/commercial/rent/property/sunshine-plaza-office-ekuu5zwtvCfduvgfx2LVAR#enquiry_source--Search,103.84965,1.29823
89,Fortune Centre,D7,Middle Rd,8000,1668,4.8,https://www.99.co/singapore/commercial/rent/property/fortune-centre-office-8yGWZjX8npaVfKPFSo9gmE#enquiry_source--Search,,
91,The Plaza,D7,Beach Rd,5600,1249,4.48,https://www.99.co/singapore/commercial/rent/property/the-plaza-office-3eKDEfUvSYpfWdnHh3vKmE#enquiry_source--Search,103.86454,1.30348
93,Eastgate,D15,East Coast Rd,4800,1195,4.02,https://www.99.co/singapore/commercial/rent/property/eastgate-office-LZxEcHvek6L4QxGvLvdFb3#enquiry_source--Search,103.91942,1.3113
94,One Pemimpin,D20,Pemimpin Dr,3500,1141,3.07,https://www.99.co/singapore/commercial/rent/property/one-pemimpin-office-en65Fvxs5csLNNwjz2jwYu#enquiry_source--Search,103.84295,1.352
95,Raffles Place,D1,Raffles Pl,40000,4100,9.76,https://www.99.co/singapore/commercial/rent/property/raffles-place-office-hHkUv7eLcBZHREXPZfBszz#enquiry_source--Search,103.8508,1.2849
96,Jit Poh Building,D2,Keppel Rd,7540,1300,5.8,https://www.99.co/singapore/commercial/rent/property/jit-poh-building-office-Hq2hqPyt7tMshqrjYF4c78#enquiry_source--Search,103.83196,1.27182
97,Amoy Street,D1,Amoy St,4600,894,5.15,https://www.99.co/singapore/commercial/rent/property/amoy-street-office-GQvqCKwJyy4gKF3cgyBRCD#enquiry_source--Search,103.84858,1.28322
98,Union Building,D2,Tras St,3200,615,5.2,https://www.99.co/singapore/commercial/rent/property/union-building-office-SjWSN6SFTHZHSxb3yesjqL#enquiry_source--Search,103.84416,1.27697
103,Keck Seng Tower,D1,Cecil St,7092,1182,6.0,https://www.99.co/singapore/commercial/rent/property/keck-seng-tower-office-8yaDgTe62pyyJBvU5jF4ov#enquiry_source--Search,103.85091,1.28311
104,Valley Point,D10,River Valley Rd,9900,1539,6.43,https://www.99.co/singapore/commercial/rent/property/valley-point-office-MwWDFKDKnGsxs8CJa4X3wg#enquiry_source--Search,103.84496,1.29029
106,People's Park Centre,D1,Upp Cross St,2180,430,5.07,https://www.99.co/singapore/commercial/rent/property/peoples-park-centre-office-5y5o5xTyq4itvpQvyo8uKV#enquiry_source--Search,103.85085,1.28107
107,United Square,D11,Thomson Rd,9044,1292,7.0,https://www.99.co/singapore/commercial/rent/property/united-square-office-bKLhU4ugWKAoi69mX7ofFA#enquiry_source--Search,103.84263,1.32566
109,Hongkong Street,D1,Hongkong St,900,150,6.0,https://www.99.co/singapore/commercial/rent/property/hongkong-street-office-XQbbCM3EeTtDa9T8FXUcKD#enquiry_source--Search,103.84759,1.28755
111,One Holland Village Residences / One Holland Village,D10,Holland Village Way,27730,6650,4.17,https://www.99.co/singapore/commercial/rent/property/one-holland-village-office-SHcsXsubW5KGkdkZf5gz7i#enquiry_source--Search,-117.41681,48.74106
112,Lew Building,D1,Nth Canal Rd,5500,1300,4.23,https://www.99.co/singapore/commercial/rent/property/lew-building-office-5z9SNBQTQbcNZ8QJZSGuW#enquiry_source--Search,103.84677,1.28726
113,Tampines Plaza 2,D18,Tampines Ctrl 1,8053,1475,5.46,https://www.99.co/singapore/commercial/rent/property/tampines-plaza-2-office-57SXcSL6NVP2LGqw3Thpo6#enquiry_source--Search,103.84465,1.42327
115,Centrium Square,D8,Serangoon Rd,3800,570,6.67,https://www.99.co/singapore/commercial/rent/property/centrium-square-office-cTawq4b8Wxs3sgUa3UfxoV#enquiry_source--Search,103.85217,1.30548
116,Tanglin Shopping Centre,D10,Tanglin Rd,2100,344,6.1,https://www.99.co/singapore/commercial/rent/property/tanglin-shopping-centre-office-4NxWPNxSJhd5XuEDJLvnN7#enquiry_source--Search,103.82732,1.30667
117,Alexandra Road,D5,Alexandra Rd,30000,6000,5.0,https://www.99.co/singapore/commercial/rent/property/alexandra-road-office-o6AXspFNeEUkzuU49YfxWF#enquiry_source--Search,103.80223,1.28012
118,Arc 380,D8,Jln Besar,4480,700,6.4,https://www.99.co/singapore/commercial/rent/property/arc-380-office-pfUZju2HzFekkjV28gA6vV#enquiry_source--Search,103.86044,1.3134
119,International Plaza,D2,Anson Rd,8267,1378,6.0,https://www.99.co/singapore/commercial/rent/property/international-plaza-office-JouPnLgFePkjMXcHFW939P#enquiry_source--Search,103.90125,1.31923
120,Bylands Building,D7,Middle Rd,5900,1323,4.46,https://www.99.co/singapore/commercial/rent/property/bylands-building-office-3nTAKqpPHctLJhy6mgS47#enquiry_source--Search,103.85194,1.29954
121,Victoria Street,D7,Victoria St,300000,30000,10.0,https://www.99.co/singapore/commercial/rent/property/victoria-street-office-xBhP7AfvBChT9SfghBuxLF#enquiry_source--Search,103.85122,1.29462
124,Bangkok Bank Building,D1,Cecil St,23100,4200,5.5,https://www.99.co/singapore/commercial/rent/property/bangkok-bank-building-office-C4QCFPpPN5zFz39ahZ5ovG#enquiry_source--Search,103.96126,1.34068
125,The Bencoolen,D7,Bencoolen St,6770,1302,5.2,https://www.99.co/singapore/commercial/rent/property/the-bencoolen-office-X5m8Rw8wDBQuaiLqCn7uJg#enquiry_source--Search,103.84965,1.29823
127,Goldhill Plaza,D11,Goldhill Plaza,8965,1630,5.5,https://www.99.co/singapore/commercial/rent/property/goldhill-plaza-office-XtBFqQnbUwmQbnqKgX4625#enquiry_source--Search,103.84289,1.31783
128,OG Albert Complex,D7,Albert St,2860,550,5.2,https://www.99.co/singapore/commercial/rent/property/og-albert-complex-office-F5ofiv8x2pDSxjTWAgw2QX#enquiry_source--Search,103.76998,1.32051
130,Orchard Rendezvous Hotel,D10,Tanglin Rd,3272,409,8.0,https://www.99.co/singapore/commercial/rent/property/orchard-rendezvous-hotel-office-eHMWqXc9ev5hBgRkZsp5q9#enquiry_source--Search,103.82732,1.30667
131,Far East Shopping Centre,D9,Orchard Rd,5120,883,5.8,https://www.99.co/singapore/commercial/rent/property/far-east-shopping-centre-office-KPguUnqp8Mu2h63s7vGFED#enquiry_source--Search,103.84812,1.29765
132,Gul Circle,D22,Gul Circle,6500,5000,1.3,https://www.99.co/singapore/commercial/rent/property/gul-circle-office-NAsV5RjMEmYnE3D34iCdwX#enquiry_source--Search,103.6777,1.31391
134,Sky Line Building,D7,Waterloo St,2812,625,4.5,https://www.99.co/singapore/commercial/rent/property/sky-line-building-office-2SWTgStuSHpviURBT7zpdv#enquiry_source--Search,103.85054,1.29809
147,Tripleone Somerset,D9,Somerset Rd,5647,753,7.5,https://www.99.co/singapore/commercial/rent/property/tripleone-somerset-office-TyfWhLzmmH4FFAe2Q9MLZj#enquiry_source--Search,103.83844,1.30044
148,Gateway West,D7,Beach Rd,5557,741,7.5,https://www.99.co/singapore/commercial/rent/property/gateway-west-office-MuWTDvZjF6GznRMo7ybQPJ#enquiry_source--Search,103.86454,1.30348
149,Bukit Merah Central,D3,Bt Merah Ctrl,3000,678,4.42,https://www.99.co/singapore/commercial/rent/property/bukit-merah-central-office-3SjkJUgaDMC3yXA2ViZFRF#enquiry_source--Search,103.81456,1.28453
151,Joo Chiat Road,D15,Joo Chiat Rd,3199,1190,2.69,https://www.99.co/singapore/commercial/rent/property/joo-chiat-road-office-TY7ap2QpwhTxmHVmddPSFg#enquiry_source--Search,103.89838,1.31588
152,Ark @ Gambas,D27,Gambas Cres,3300,1711,1.93,https://www.99.co/singapore/commercial/rent/property/ark-gambas-office-45G5vvnfUvJVbJAqirrpwC#enquiry_source--Search,103.95572,1.38058
153,Pacific Tech Centre,D3,Jln Kilang Timor,10201,3778,2.7,https://www.99.co/singapore/commercial/rent/property/pacific-tech-centre-office-3pM7LzqY7NV857jA5z3u3i#enquiry_source--Search,103.81076,1.2854
154,Raeburn Park,D2,Raeburn Pk,1274,260,4.9,https://www.99.co/singapore/commercial/rent/property/raeburn-park-office-WxD7h5PvVEWTg33PvPRctr#enquiry_source--Search,103.85177,1.27703
155,Plaza 8 @ Cbp,D16,Changi Business Pk Cres,7484,1782,4.2,https://www.99.co/singapore/commercial/rent/property/plaza-8-cbp-office-aUDY3uWsoD6KYYXspsdFeS#enquiry_source--Search,103.96652,1.33567
156,Honeywell Building,D16,Changi Business Pk Ctrl 1,44604,10373,4.3,https://www.99.co/singapore/commercial/rent/property/honeywell-building-office-jAgXyfZTSf8Z8FzUUjFrz4#enquiry_source--Search,103.96652,1.33567
158,Akzonobel House,D16,Changi Business Pk Vista,19119,4902,3.9,https://www.99.co/singapore/commercial/rent/property/akzonobel-house-office-T6NHZ3rqcVF8XYBiTJ892g#enquiry_source--Search,103.96652,1.33567
159,Hansapoint @ Cbp,D16,Changi Business Pk Ctrl 2,136350,30300,4.5,https://www.99.co/singapore/commercial/rent/property/hansapoint-cbp-office-MhqGBBGDKArsRg9wkWq2PF#enquiry_source--Search,103.96652,1.33567
160,Changi Business Park Avenue 1,D16,Changi Business Pk Ave 1,12582,2796,4.5,https://www.99.co/singapore/commercial/rent/property/changi-business-park-avenue-1-office-a4xmxtFi9RMnHkv6boGXV3#enquiry_source--Search,103.96652,1.33567
162,One @ Changi City,D16,Changi Business Pk Ctrl 1,18529,3369,5.5,https://www.99.co/singapore/commercial/rent/property/one-changi-city-office-RxThhprh2tAtPaUYhv8TXW#enquiry_source--Search,103.96652,1.33567
171,Fragrance Empire Building,D5,Alexandra Rd,20501,3154,6.5,https://www.99.co/singapore/commercial/rent/property/fragrance-empire-building-office-vRdcknnGDqLfQEjMtzY2JY#enquiry_source--Search,103.80223,1.28012
172,Wave9,D27,Woodlands Industrial Pk E9,4900,1840,2.66,https://www.99.co/singapore/commercial/rent/property/wave9-office-NfgZqFrsKWc62xcgrKVUoc#enquiry_source--Search,,
173,Woodlands 11,D25,Woodlands Cl,1500,438,3.42,https://www.99.co/singapore/commercial/rent/property/woodlands-11-office-Nx63CMqf2jtNtZY4q3JRn7#enquiry_source--Search,103.80311,1.43518
174,Serangoon Garden Estate,D19,Maju Ave,6500,1200,5.42,https://www.99.co/singapore/commercial/rent/property/serangoon-garden-estate-office-DKg92BKBBMhF3zmS2coJpB#enquiry_source--Search,103.8654,1.36496
176,Fook Hai Building,D1,Sth Bridge Rd,3000,440,6.82,https://www.99.co/singapore/commercial/rent/property/fook-hai-building-office-GoXXDn77DV6uHpwZv4d7dx#enquiry_source--Search,103.96126,1.34068
178,Petain Road/Tyrwhitt Road Conservation Area,D8,Jln Besar,17900,5320,3.36,https://www.99.co/singapore/commercial/rent/property/petain-roadtyrwhitt-road-conservation-area-office-cmyyqDAD7Kcca9PuYqwAb4#enquiry_source--Search,100.91018,4.4772
180,Rigel Innovation Centre,D16,Changi Business Pk Ctrl 2,15132,5044,3.0,https://www.99.co/singapore/commercial/rent/property/rigel-innovation-centre-office-4vRRwYgNNLCzZGucA6UsfU#enquiry_source--Search,103.96652,1.33567
181,Icb Enterprise House,D7,Middle Rd,700,70,10.0,https://www.99.co/singapore/commercial/rent/property/icb-enterprise-house-office-aJC8SuHMocq6GnfTBWGqYB#enquiry_source--Search,103.70291,1.3339
183,AZ @ Paya Lebar,D14,Paya Lebar Rd,5000,1970,2.54,https://www.99.co/singapore/commercial/rent/property/az-paya-lebar-office-DWNe8EcYaCMQsFRQqLHhrR#enquiry_source--Search,103.88075,1.34981
184,North Bridge Centre,D7,Nth Bridge Rd,1565,204,7.67,https://www.99.co/singapore/commercial/rent/property/north-bridge-centre-office-mzxQfoRGaNKoJjLnZq2i67#enquiry_source--Search,103.84896,1.29042
186,Far East Finance Building,D1,Robinson Rd,8600,1432,6.01,https://www.99.co/singapore/commercial/rent/property/far-east-finance-building-office-8MF3kAgv8UqiyUdpsJL4Lr#enquiry_source--Search,103.84864,1.27909
189,Regency House,D9,Penang Rd,12270,1636,7.5,https://www.99.co/singapore/commercial/rent/property/regency-house-office-mGYfDVfpvkH36jtPyW5Krp#enquiry_source--Search,103.88218,1.30231
190,Robinson Square,D1,Robinson Rd,7800,1184,6.59,https://www.99.co/singapore/commercial/rent/property/robinson-square-office-2JvbVVTBjaVcJzuJu3ZYqj#enquiry_source--Search,103.84864,1.27909
194,Bukit Pasoh Extnsn Constn Area,D2,Keong Saik Rd,40000,3700,10.81,https://www.99.co/singapore/commercial/rent/property/bukit-pasoh-extnsn-constn-area-office-8HaY3Dq7A6xcsG9jVQip8x#enquiry_source--Search,103.84141,1.27879
196,Amara Singapore,D2,Tg Pagar Rd,34765,4090,8.5,https://www.99.co/singapore/commercial/rent/property/amara-singapore-office-JhbVBs5RPKpeyMG96xrn4V#enquiry_source--Search,103.84427,1.27996
198,Kallang Avenue,D12,Kallang Ave,17900,3000,5.97,https://www.99.co/singapore/commercial/rent/property/kallang-avenue-office-giAekaZYQZFUKejbDEiuu8#enquiry_source--Search,103.87396,1.32242
199,OCBC Centre,D1,Chulia St,60000,6000,10.0,https://www.99.co/singapore/commercial/rent/property/ocbc-centre-office-XLTnv8rWQYnpNef8rVd3xt#enquiry_source--Search,103.84976,1.28507
209,Parkway Parade,D15,Marine Parade Rd,6200,956,6.49,https://www.99.co/singapore/commercial/rent/property/parkway-parade-office-4KwgbFGmNxeqBS3Q7TKFrU#enquiry_source--Search,103.90336,1.30138
210,Asia Square Towers,D1,Marina View,182000,14000,13.0,https://www.99.co/singapore/commercial/rent/property/asia-square-towers-office-d6uhGz5cStBmsJf9Vaxsyp#enquiry_source--Search,103.85323,1.28084
227,Camden Centre / Camden Medical Centre,D10,Orchard Boulevard,10010,770,13.0,https://www.99.co/singapore/commercial/rent/property/camden-centre-camden-medical-centre-office-V9P3feEkGBRB7bVzr5SKVR#enquiry_source--Search,,
228,Marina Bay Financial Centre,D1,Marina Boulevard,312000,24000,13.0,https://www.99.co/singapore/commercial/rent/property/marina-bay-financial-centre-office-3968pYhYCqHSekVNjzYpTZ#enquiry_source--Search,103.85323,1.27608
254,Neil Road,D2,Neil Rd,58000,6600,8.79,https://www.99.co/singapore/commercial/rent/property/neil-road-office-NJP7doiZ7h4W2YbxNXEWoT#enquiry_source--Search,103.84383,1.28017
255,Tanjong Pagar Conservation Area,D2,Tras St,19500,2600,7.5,https://www.99.co/singapore/commercial/rent/property/tanjong-pagar-conservation-area-office-Wdpf9JkTGoAPwhHAvvywkc#enquiry_source--Search,103.86732,1.29786
258,Malacca Centre,D1,Malacca St,12500,1860,6.72,https://www.99.co/singapore/commercial/rent/property/malacca-centre-office-YdmKGaFxBge67Rz3HgoTTQ#enquiry_source--Search,103.85086,1.28395
261,Cecil Street,D1,Cecil St,5023,897,5.6,https://www.99.co/singapore/commercial/rent/property/cecil-street-office-fhU9CoMQEXCdURjesHRix9#enquiry_source--Search,103.84836,1.27945
264,T-Space,D18,Tampines Nth Dr 1,7800,2422,3.22,https://www.99.co/singapore/commercial/rent/property/tspace-office-kosbpmGVXbM4pnb9JKapLk#enquiry_source--Search,103.94731,1.34433
265,Jun Xin Building,D7,Nth Bridge Rd,15870,3170,5.01,https://www.99.co/singapore/commercial/rent/property/jun-xin-building-office-8zwmEwKdChbS932aky6CiF#enquiry_source--Search,103.96126,1.34068
269,Raffles City Tower,D6,Nth Bridge Rd,8800,1021,8.62,https://www.99.co/singapore/commercial/rent/property/raffles-city-tower-office-FXrErCjM8aDj4bVmLrdyxM#enquiry_source--Search,103.85313,1.29335
270,Guoco Tower,D2,Wallich St,71000,5091,13.95,https://www.99.co/singapore/commercial/rent/property/guoco-tower-office-nCqPBJWyRomgP9TuX8BwAT#enquiry_source--Search,,
272,One Raffles Place,D1,Raffles Pl,125160,10430,12.0,https://www.99.co/singapore/commercial/rent/property/one-raffles-place-office-5jZo3JaLodpEJtgqy9gHpD#enquiry_source--Search,,
281,Amtech Building,D20,Sin Ming Rd,3100,721,4.3,https://www.99.co/singapore/commercial/rent/property/amtech-building-office-YJe9e55xr2ray8W6E75TG6#enquiry_source--Search,103.83558,1.35265
284,Guthrie House,D10,Fifth Ave,9450,1350,7.0,https://www.99.co/singapore/commercial/rent/property/guthrie-house-office-mBMDJwfEETHmjLERu7ZiQS#enquiry_source--Search,103.79542,1.33067
291,Cecil Building,D1,Cecil St,168000,20000,8.4,https://www.99.co/singapore/commercial/rent/property/cecil-building-office-VLjFj2FvpveuqEzGv2X6PV#enquiry_source--Search,103.84836,1.27945
292,Bugis Junction Towers,D7,Victoria St,94278,9924,9.5,https://www.99.co/singapore/commercial/rent/property/bugis-junction-towers-office-TvAH82kLeAjyyVtoaE8Lws#enquiry_source--Search,103.85536,1.29844
295,Pekin Street,D1,Pekin St,11800,1816,6.5,https://www.99.co/singapore/commercial/rent/property/pekin-street-office-B2h8UmSyGr2o3vwsxyV9M6#enquiry_source--Search,103.84845,1.2835
298,Centennial Tower,D1,Temasek Ave,31902,2454,13.0,https://www.99.co/singapore/commercial/rent/property/centennial-tower-office-Fr4UmkpzfKQ5uYv2VaMZJ8#enquiry_source--Search,103.86034,1.29279
299,Crystal Time Building,D13,Tannery Lane,6950,3020,2.3,https://www.99.co/singapore/commercial/rent/property/crystal-time-building-office-Mi8JC6XU72ZfVyFCHRXcXW#enquiry_source--Search,103.87509,1.32959
301,Goodland Group Building,D19,Kim Chuan Lane,8500,2454,3.46,https://www.99.co/singapore/commercial/rent/property/goodland-group-building-office-4QeLBy2Nepoe5oJwJUfyvi#enquiry_source--Search,103.8918,1.33945
303,King's Centre,D3,Havelock Rd,12560,1744,7.2,https://www.99.co/singapore/commercial/rent/property/kings-centre-office-hPbDcUoEDYNrfVzKbkdAHN#enquiry_source--Search,103.83997,1.29013
305,E-Centre @ Redhill,D3,Jln Bt Merah,3000,990,3.03,https://www.99.co/singapore/commercial/rent/property/ecentre-redhill-office-5cQunkrjyWV8fH7PLug2x4#enquiry_source--Search,103.81713,1.28947
306,WIS @ Changi,D14,Changi Rd,890000,506,1758.89,https://www.99.co/singapore/commercial/rent/property/wis-changi-office-jNyeyqqfzp8orLKBWwrnfn#enquiry_source--Search,103.91744,1.32068
308,The Adelphi,D6,,2050,300,6.83,https://www.99.co/singapore/commercial/rent/property/the-adelphi-office-PAzixKFkwMuWj9hjUv7iDb#enquiry_source--Search,103.85125,1.29131
310,Tuas Techpark,D22,Tech Pk Cres,25498,7285,3.5,https://www.99.co/singapore/commercial/rent/property/tuas-techpark-office-HFQFoHML8UY4hWsMUoTwFA#enquiry_source--Search,103.84721,1.39035
311,Lee King Hwa Building,D19,Tai Seng Link,2800,550,5.09,https://www.99.co/singapore/commercial/rent/property/lee-king-hwa-building-office-bukFBKEcYbQPSorxPy9Nup#enquiry_source--Search,103.88942,1.33622
313,The Octagon,D1,Cecil St,40000,6189,6.46,https://www.99.co/singapore/commercial/rent/property/the-octagon-office-yrCxsuDwZwdh49WcBY7xN4#enquiry_source--Search,103.84836,1.27945
315,SIF Building,D1,Robinson Rd,7200,987,7.29,https://www.99.co/singapore/commercial/rent/property/sif-building-office-eUXj8HMdaWkaMHmMf4GX7A#enquiry_source--Search,103.84864,1.27909
320,The House Of Eden,D1,Robinson Rd,5400,665,8.12,https://www.99.co/singapore/commercial/rent/property/the-house-of-eden-office-MVbbpqZUe9eptEjhH6Qn24#enquiry_source--Search,103.84864,1.27909
329,China Street,D1,China St,17280,2400,7.2,https://www.99.co/singapore/commercial/rent/property/china-street-office-mSbQPjvDspiptYEY49gdo8#enquiry_source--Search,103.84783,1.28357
357,Jurong Town Hall,D22,Jurong Town Hall Rd,4000,1150,3.48,https://www.99.co/singapore/commercial/rent/property/jurong-town-hall-office-4v3iTTTeXnSQrGEMrENnzJ#enquiry_source--Search,103.72094,1.35105
359,Paya Lebar Square,D14,Paya Lebar Rd,6500,950,6.84,https://www.99.co/singapore/commercial/rent/property/paya-lebar-square-office-Xcc7uP97THuxnEqnq6iLT4#enquiry_source--Search,103.88075,1.34981
362,Ibis Singapore Bencoolen,D7,Bencoolen St,6490,1475,4.4,https://www.99.co/singapore/commercial/rent/property/ibis-singapore-bencoolen-office-Mzp5sC53pbtpXvYiTkdr5E#enquiry_source--Search,103.84965,1.29823
363,Viva Vista,D5,Sth Buona Vista Rd,1400,280,5.0,https://www.99.co/singapore/commercial/rent/property/viva-vista-office-PzZee6qRaGG2F9wz89CrFT#enquiry_source--Search,103.79282,1.30963
375,Fusionopolis Link,D5,Fusionopolis Link,21864,3644,6.0,https://www.99.co/singapore/commercial/rent/property/fusionopolis-link-office-byMafATABF8ua57KdDLZj9#enquiry_source--Search,103.78961,1.29925
376,City House,D1,Robinson Rd,11000,1313,8.38,https://www.99.co/singapore/commercial/rent/property/city-house-office-oD9krjQ24GSp2rmeaKYeWB#enquiry_source--Search,103.84864,1.27909
378,Ocean Financial Centre,D1,Collyer Quay,17285,1744,9.91,https://www.99.co/singapore/commercial/rent/property/ocean-financial-centre-office-iEV2YPAa9mHR9PxMKauhZP#enquiry_source--Search,103.85273,1.28274
381,PSA Vista,D5,Harbour Dr,18800,4193,4.48,https://www.99.co/singapore/commercial/rent/property/psa-vista-office-3T6RFDf7KGzddMghxK5FgN#enquiry_source--Search,103.78043,1.28179
386,Boat Quay Conservation Area,D1,Circular Rd,5736,1195,4.8,https://www.99.co/singapore/commercial/rent/property/boat-quay-conservation-area-office-Phv7icngLYnGKR6puQyRmn#enquiry_source--Search,103.84891,1.28796
388,The Synergy,D22,International Business Pk,1764,420,4.2,https://www.99.co/singapore/commercial/rent/property/the-synergy-office-kfqXVuL3srEtKw4qDjByDa#enquiry_source--Search,103.74914,1.32891
389,Concorde Shopping Centre,D3,Outram Rd,68321,12422,5.5,https://www.99.co/singapore/commercial/rent/property/concorde-shopping-centre-office-eRZHqgra4ioszVt4ftg7Xd#enquiry_source--Search,103.83673,1.28233
390,The Riverwalk,D1,Upp Circular Rd,4202,667,6.3,https://www.99.co/singapore/commercial/rent/property/the-riverwalk-office-Zojx5W78gdzpS7ojJDWuPe#enquiry_source--Search,103.84891,1.28796
395,Mohamed Sultan Road,D9,Mohamed Sultan Rd,3000,580,5.17,https://www.99.co/singapore/commercial/rent/property/mohamed-sultan-road-office-RgJJACUkXYiFv8Y2Re72R6#enquiry_source--Search,103.83936,1.29117
396,100 AM,D2,Tras St,6028,753,8.01,https://www.99.co/singapore/commercial/rent/property/100-am-office-Sj7aUqAFSGRzDS7aeTKxBn#enquiry_source--Search,103.8434,1.27468
400,The Commerze @ Irving,D13,Irving Pl,3000,1400,2.14,https://www.99.co/singapore/commercial/rent/property/the-commerze-irving-office-QhwUJaK8d9k2kx8Gbvvh3u#enquiry_source--Search,103.88606,1.3361
411,Hd 139,D1,Cecil St,43238,6652,6.5,https://www.99.co/singapore/commercial/rent/property/hd-139-office-XgawVp6nPAKHZdzh2Vd5mX#enquiry_source--Search,103.84852,1.27944
413,Bulkhaul House,D7,Beach Rd,18200,3500,5.2,https://www.99.co/singapore/commercial/rent/property/bulkhaul-house-office-L6q3rDuWwzcHdydpxgkGub#enquiry_source--Search,103.86454,1.30348
418,Textile Centre,D7,Jln Sultan,3800,893,4.26,https://www.99.co/singapore/commercial/rent/property/textile-centre-office-ChSDpAZCcCaqsTXpbw6ASB#enquiry_source--Search,103.86154,1.30243
419,Tradehub 21,D22,Boon Lay Way,1650,500,3.3,https://www.99.co/singapore/commercial/rent/property/tradehub-21-office-Xu7CFBbkdaQvrQhyr47yFG#enquiry_source--Search,103.75158,1.32874
421,Upper Bukit Timah Road,D21,Upp Bt Timah Rd,14500,3600,4.03,https://www.99.co/singapore/commercial/rent/property/upper-bukit-timah-road-office-RnUedENmXnp4YDNAzziEPB#enquiry_source--Search,103.77334,1.34528
423,Harbourfront Centre,D4,Maritime Square,19000,3000,6.33,https://www.99.co/singapore/commercial/rent/property/harbourfront-centre-office-EyMzr6aENt5nA3nATjeERT#enquiry_source--Search,103.82038,1.2637
428,The Concourse,D7,Beach Rd,25000,3380,7.4,https://www.99.co/singapore/commercial/rent/property/the-concourse-office-ftBeTyRNjPhMCa5B9oboDf#enquiry_source--Search,103.86454,1.30348
432,Kreta Ayer Conservation Area,D1,New Bridge Rd,12000,1373,8.74,https://www.99.co/singapore/commercial/rent/property/kreta-ayer-conservation-area-office-8s9CrF5k6TbEQrSpPHDhLA#enquiry_source--Search,,
434,Tampines Plaza 1,D18,Tampines Ctrl 1,22009,4114,5.35,https://www.99.co/singapore/commercial/rent/property/tampines-plaza-1-office-VPEXJq4NVvAhh6ufn37Q4P#enquiry_source--Search,103.94731,1.34433
435,20 Collyer Quay,D1,Collyer Quay,10310,1001,10.3,https://www.99.co/singapore/commercial/rent/property/20-collyer-quay-office-35C8gXEYfYKSGetuUrqDjA#enquiry_source--Search,103.85269,1.28469
436,Tan Chong Tower,D7,Queen St,3863,623,6.2,https://www.99.co/singapore/commercial/rent/property/tan-chong-tower-office-HBEWrAWmuPWcskdAqaBsRZ#enquiry_source--Search,103.85177,1.297
448,Lazada One,D7,Bras Basah Rd,11950,1195,10.0,https://www.99.co/singapore/commercial/rent/property/lazada-one-office-QsL8LFpWkxkBTfSvGMJeQW#enquiry_source--Search,103.84871,1.29858
449,HDB-Ang Mo Kio,D20,Ang Mo Kio Ave 4,5500,1655,3.32,https://www.99.co/singapore/commercial/rent/property/hdbang-mo-kio-office-2KSqm3RBKZpqBXKcEEznBY#enquiry_source--Search,103.83714,1.37141
452,Harper Point,D13,Harper Rd,5325,1065,5.0,https://www.99.co/singapore/commercial/rent/property/harper-point-office-bamwigwG3eEQ77fdgCtJVo#enquiry_source--Search,103.78043,1.28179
456,Blair Plain Conservation Area,D3,Kg Bahru Rd,13000,3605,3.61,https://www.99.co/singapore/commercial/rent/property/blair-plain-conservation-area-office-ccrAmsWYJcK94zRssvcz3x#enquiry_source--Search,103.82596,1.26861
458,Kim Hoe Centre,D8,Kelantan Lane,15600,3250,4.8,https://www.99.co/singapore/commercial/rent/property/kim-hoe-centre-office-QowTHikGDdrs4VCUkSMgLb#enquiry_source--Search,103.85657,1.30708
460,Baker Street,D28,Baker St,13500,2950,4.58,https://www.99.co/singapore/commercial/rent/property/baker-street-office-8EaUp7ZtzUWbV2hQrX66Fq#enquiry_source--Search,103.87064,1.40924
462,Genting Building,D13,Genting Lane,3700,1360,2.72,https://www.99.co/singapore/commercial/rent/property/genting-building-office-WdQpLyPLFajzd78rrX3xZV#enquiry_source--Search,103.87342,1.32883
463,Lock+Store Chai Chee,D16,Chai Chee Lane,2200,630,3.49,https://www.99.co/singapore/commercial/rent/property/lock+store-chai-chee-office-VRfkUGacMbdxdbzKkLf3G4#enquiry_source--Search,103.91717,1.32805
